STATUS | wrapper  | 2013/03/21 09:40:47 | ActiveMQ installed.
INFO   | jvm 3    | 2013/04/24 09:35:36 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 3    | 2013/04/24 09:35:36 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 3    | 2013/04/24 09:35:36 | 
INFO   | jvm 3    | 2013/04/24 09:35:37 | Java Runtime: Oracle Corporation 1.7.0_07 C:\Program Files (x86)\Java\jre7
INFO   | jvm 3    | 2013/04/24 09:35:37 |   Heap sizes: current=15872k  free=12549k  max=506816k
INFO   | jvm 3    | 2013/04/24 09:35:37 |     JVM args: -Dactivemq.home=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\.. -Dactivemq.base=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../conf/broker.ks -Djavax.net.ssl.trustStore=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Xmx512m -Djava.library.path=C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\../bin/win32 -Dwrapper.key=vmt4_LiGJUgdrppI -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=2396 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=3
INFO   | jvm 3    | 2013/04/24 09:35:37 | ACTIVEMQ_HOME: C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\..
INFO   | jvm 3    | 2013/04/24 09:35:37 | ACTIVEMQ_BASE: C:\Users\s\Desktop\EMRCoding\apache-uima-as-2.4.0\apache-activemq-5.4.1\bin\win32\..\..
INFO   | jvm 3    | 2013/04/24 09:35:38 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 3    | 2013/04/24 09:35:39 | log4j:WARN No appenders could be found for logger (org.apache.activemq.xbean.XBeanBrokerFactory).
INFO   | jvm 3    | 2013/04/24 09:35:39 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 3    | 2013/04/24 09:35:41 | ERROR: java.lang.RuntimeException: Failed to execute start task. Reason: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 3    | 2013/04/24 09:35:41 | java.lang.RuntimeException: Failed to execute start task. Reason: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.command.StartCommand.runTask(StartCommand.java:98)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.command.ShellCommand.runTask(ShellCommand.java:143)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.command.ShellCommand.main(ShellCommand.java:85)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.Main.runTaskClass(Main.java:251)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.apache.activemq.console.Main.main(Main.java:107)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 3    | 2013/04/24 09:35:41 | Caused by: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:341)
INFO   | jvm 3    | 2013/04/24 09:35:41 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:302)
